Customer_ID,Current Loan Amount,Monthly Debt,Years of Credit History,Years in current job,Number of Open Accounts,Months since last delinquent,Maximum Open Credit,Score
1,20000,3670,1,30,1,48,90000,735.0
2,30000,1400,2,29,3,0,75000,644.0
3,25000,2291,1,9,1,0,30000,496.0
4,20000,3670,1,11,5,2,65000,515.0
5,32000,6500,1,16,1,0,50000,546.0
6,30000,2489,1,35,1,0,80000,640.0
7,20000,4020,1,3,1,0,50000,594.0
8,15000,1000,1,9,1,1,50000,512.0
9,32000,6500,1,2,1,0,50000,532.0
10,10000,1700,1,5,1,0,30000,614.0
11,20000,1500,1,3,1,0,20000,450.0
12,20000,1000,1,3,1,0,50000,609.0
13,25000,2500,1,2,1,0,50000,573.0
14,15000,1500,1,2,1,0,25000,547.0
15,17500,1500,1,1,1,1,50000,488.0
16,15000,1350,1,5,1,0,5000,-61.0
17,8000,1450,1,4,1,0,20000,596.0
18,15000,1400,1,2,1,0,50000,624.0
19,20000,1800,1,2,1,0,10000,191.0
20,17000,1600,1,2,1,0,100000,657.0
21,18000,1600,1,8,2,0,50000,618.0
22,8000,1450,1,2,1,0,30000,628.0
23,15000,1500,1,3,1,0,100000,663.0
24,10000,1700,1,3,2,0,35000,626.0
25,17000,1500,1,2,1,3,50000,500.0
26,5000,900,1,6,1,0,30000,657.0
27,20000,1800,1,3,2,1,100000,530.0
28,15000,1400,1,2,1,0,50000,624.0
29,18000,1750,1,2,1,0,50000,609.0
30,13000,2380,1,2,1,0,50000,629.0
31,10000,1800,1,2,1,3,50000,529.0
32,15000,2000,1,2,2,0,50000,623.0
33,8000,1450,1,2,1,2,50000,536.0
34,30000,2489,1,9,1,1,50000,433.0
35,30000,2489,1,9,1,1,50000,433.0
36,20000,1833,1,10,1,0,70000,636.0
37,80000,7333,1,18,2,0,100000,515.0
38,75000,6875,1,20,1,1,90000,383.0
39,90000,8250,2,17,1,0,100000,490.0
40,65000,5958,1,12,1,0,80000,504.0
41,80000,7333,2,15,1,0,100000,514.0
42,55000,5041,1,10,1,0,80000,534.0
43,100000,3080,3,20,2,12,150000,501.0
44,20000,1800,1,3,1,1,50000,477.0
45,18000,1750,1,2,1,2,50000,489.0
46,15000,1400,1,4,1,0,50000,626.0
47,30000,2800,1,2,1,0,100000,624.0
48,10000,1832,1,7,1,0,50000,650.0
49,30000,2750,1,3,3,0,100000,630.0
50,25000,2250,2,3,3,2,100000,527.0
51,50000,2300,2,4,2,2,150000,515.0
52,20000,1850,1,2,1,0,100000,650.0
53,30000,1375,2,8,1,0,50000,569.0
54,20000,1833,1,6,1,0,50000,603.0
55,15000,2800,1,2,1,0,50000,619.0
56,30000,2750,1,3,2,1,100000,504.0
57,40000,1250,3,5,1,0,65000,576.0
58,20000,1800,1,5,1,0,45000,591.0
59,35000,1070,3,6,1,0,50000,556.0
60,15000,2000,1,2,2,1,30000,449.0
