Customer_ID,Current Loan Amount,Monthly Debt,Years of Credit History,Years in current job,Number of Open Accounts,Months since last delinquent,Maximum Open Credit,Score
1,20000,3670,1,30,1,48,90000,744.0
2,30000,1400,2,29,3,0,75000,671.0
3,25000,2291,1,9,1,0,50000,590.0
4,20000,3670,1,11,5,2,65000,560.0
5,32000,6500,1,16,1,0,50000,555.0
6,30000,2489,1,35,1,0,80000,649.0
7,20000,4020,1,3,1,0,50000,603.0
8,15000,1000,1,9,1,1,50000,521.0
9,32000,6500,1,2,1,0,80000,602.0
10,10000,1700,1,5,1,0,35000,635.0
11,20000,1500,1,3,1,0,45000,600.0
12,20000,1000,1,3,1,0,50000,618.0
13,25000,2500,1,2,1,0,50000,582.0
14,15000,1500,1,2,1,0,25000,556.0
15,17500,1500,1,1,1,1,50000,497.0
16,15000,1350,1,5,1,0,50000,637.0
17,8000,1450,1,4,1,0,20000,605.0
18,15000,1400,1,2,1,0,50000,633.0
19,20000,1800,1,2,1,0,50000,608.0
20,17000,1600,1,2,1,0,100000,666.0
21,18000,1600,1,8,2,0,50000,636.0
22,8000,1450,1,2,1,0,30000,637.0
23,15000,1500,1,3,1,0,100000,672.0
24,10000,1700,1,3,2,0,35000,644.0
25,17000,1500,1,2,1,3,50000,509.0
26,5000,900,1,6,1,0,30000,666.0
27,20000,1800,1,3,2,1,100000,548.0
28,15000,1400,1,2,1,0,50000,633.0
29,18000,1750,1,2,1,0,50000,618.0
30,13000,2380,1,2,1,0,50000,638.0
31,10000,1800,1,2,1,3,50000,538.0
32,15000,2000,1,2,2,0,50000,641.0
33,8000,1450,1,2,1,2,50000,545.0
34,30000,2489,1,9,1,1,50000,442.0
35,30000,2489,1,9,1,1,50000,442.0
36,20000,1833,1,10,1,0,70000,645.0
37,80000,7333,1,18,2,0,100000,533.0
38,75000,6875,1,20,1,1,90000,392.0
39,90000,8250,2,17,1,0,100000,499.0
40,65000,5958,1,12,1,0,80000,513.0
41,80000,7333,2,15,1,0,100000,523.0
42,55000,5041,1,10,1,0,80000,543.0
43,100000,3080,3,20,2,12,150000,519.0
44,20000,1800,1,3,1,1,50000,486.0
45,18000,1750,1,2,1,2,50000,498.0
46,15000,1400,1,4,1,0,50000,635.0
47,30000,2800,1,2,1,0,100000,633.0
48,10000,1832,1,7,1,0,50000,659.0
49,30000,2750,1,3,3,0,100000,657.0
50,25000,2250,2,3,3,2,100000,554.0
51,50000,2300,2,4,2,2,150000,533.0
52,20000,1850,1,2,1,0,100000,659.0
53,30000,1375,2,8,1,0,50000,578.0
54,20000,1833,1,6,1,0,50000,612.0
55,15000,2800,1,2,1,0,50000,628.0
56,30000,2750,1,3,2,1,100000,522.0
57,40000,1250,3,5,1,0,65000,585.0
58,20000,1800,1,5,1,0,45000,600.0
59,35000,1070,3,6,1,0,50000,565.0
60,15000,2000,1,2,2,1,30000,467.0
