Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Scoree,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Credit Score,FICO Score,payhis,amtowed,lenofcrhis,newcred,Score,Starting_Score,Payment_History_Score,Amount_Owed_Score,Length_Credit_Score,Credit_Mix_Score,CSPAScore
c16a7659-d650-4969-a2cd-37fe0e3e51e4,9b686d15-8a52-4af6-a98e-1b9f282ed472,Fully Paid,539792,Long Term,585,3748719,10,Own Home,other,47483.85,26.5,30,8,0,241680,278168,0,0,585,Fair,220.11,225.99985299679037,152.24747583844524,53.37480609952844,672,300,85.87,33.44899485203187,163.155,8,590
458c9708-7796-4dfc-b0bb-085e849238c7,d9f26f07-0178-4aa0-802c-5abaef08a792,Charged Off,601216,Long Term,585,1622600,10,Home Mortgage,Debt Consolidation,34209.5,27.4,26,23,0,201267,886050,0,0,585,Fair,216.71,275.9998680155535,150.24809507824787,57.38801456431816,720,300,103.97,197.07653631284916,153.238,23,777
14babfcc-fe6c-4099-85bf-0e64c20b77ac,8191f485-f201-45d7-89a3-a9ba21d249f1,Charged Off,715396,Long Term,585,7723120,10,Home Mortgage,Business Loan,39001.68,32.6,53,9,0,6489013,12481040,0,0,585,Fair,216.75,329.9998890807788,157.2509974411944,53.98631573531125,778,300,122.94,122.4230420702121,250.282,9,805
aba646fa-ab20-42ba-9146-0afbc70fe553,badbb5dc-9aef-4f7b-8d66-5233a296a5e7,Fully Paid,265892,Long Term,587,4975568,2,Rent,Debt Consolidation,34207.03,14.3,5,8,0,56810,67606,0,0,587,Fair,219.64,224.9997015663801,117.73123375960309,53.37480609952844,636,300,37.07,40.72094192823122,53.580999999999996,8,439
26216643-fcd8-4b9c-89a5-3b1e6aa18e6b,e484c11c-df41-4147-999c-a555e55f1f37,Fully Paid,78870,Long Term,587,647748,5,Rent,other,7772.9,10.5,35,5,0,62529,94644,0,0,587,Fair,216.27,255.9989939025729,154.21824944232432,50.50611121761507,697,300,65.65,86.52767211867629,135.835,5,593
fc2c1b79-8447-4e33-8c89-355775063795,1ba91733-2719-415f-b356-a0aae72f491c,Charged Off,265870,Long Term,587,768588,8,Rent,Debt Consolidation,25427.32,27.7,33,14,0,199462,386870,0,0,587,Fair,220.77,274.9997015416856,153.74829245507337,55.89194809403705,725,300,93.16,123.52738646056815,175.599,14,706
137b0f16-869e-483f-bf58-440e2125f7a3,e3223589-47f2-4019-aa77-404c556c887b,Charged Off,385110,Long Term,587,1039357,10,Home Mortgage,small_business,15936.82,12.4,48,12,0,77083,238634,0,0,587,Fair,209.64,227.99979395201575,156.72575980647966,55.29448983,670,300,106.56,172.63049272107077,180.948,12,772
4a06f358-51c8-44e8-9a3d-5fa2343a9c25,e3ff17f9-3605-49f6-b1fc-7ed9223b9c38,Charged Off,275066,Long Term,588,774136,5,Rent,other,20772.51,5.1,29,4,0,169613,306878,0,0,588,Fair,206.87,249.99971151972625,151.66456293352164,48.94427190999916,677,300,56.34,114.06022914643603,102.93700000000001,4,577
cebd7b0c-ae72-44f0-b421-3a218f02d2ac,a58309a7-5c51-45f1-ab84-4b8fc914e429,Charged Off,292930,Long Term,588,1321697,1,Home Mortgage,Debt Consolidation,23570.26,22.7,22,11,0,287166,419826,0,0,588,Fair,218.99,272.99972911234715,147.74431294733856,54.92603791,715,300,69.13,80.57695331,128.369,11,589
e9bf7c0e-7571-4191-b94d-c2d2e6e2f3dc,d52f53e0-7f35-42c2-bda5-9eecc4bf7b42,Charged Off,766612,Long Term,588,2024051,3,Rent,Debt Consolidation,23613.96,20,8,8,0,75164,175098,0,0,588,Fair,207.81,224.9998964910941,124.74132455753356,53.37480609952844,631,300,71.46,145.53661378199635,78.03999999999999,8,603
