Customer ID,Current Credit Balance,Monthly Debt,Years in current job,Years of Credit History,Number of Open Accounts,Maximum Open Credit,payhis,amtowed,lenofcrhis,newcred,Score,FICO Score
9b686d15-8a52-4af6-a98e-1b9f282ed472,241680,47483.85,10,26.5,8,278168,291.7,122,132.2438609,73.3748061,658,Good
d9f26f07-0178-4aa0-802c-5abaef08a792,201267,34209.5,10,27.4,23,886050,288.6,186,130.2444825,77.38801456,707,Good
8191f485-f201-45d7-89a3-a9ba21d249f1,6489013,39001.68,10,32.6,9,12481040,288.62,255,137.2473961,73.98631574,765,Good
badbb5dc-9aef-4f7b-8d66-5233a296a5e7,56810,34207.03,2,14.3,8,67606,274.81,120,97.7275565,73.3748061,606,Good
e484c11c-df41-4147-999c-a555e55f1f37,62529,7772.9,5,10.5,5,94644,283.53,160,134.2145225,70.50611122,679,Good
1ba91733-2719-415f-b356-a0aae72f491c,199462,25427.32,8,27.7,14,386870,291.03,184,133.7446807,75.89194809,711,Good
e3223589-47f2-4019-aa77-404c556c887b,77083,15936.82,10,12.4,12,238634,282.3,124,136.7220616,75.29448983,657,Good
e3ff17f9-3605-49f6-b1fc-7ed9223b9c38,169613,20772.51,5,5.1,4,306878,274.27,152,131.6606324,68.94427191,660,Good
a58309a7-5c51-45f1-ab84-4b8fc914e429,287166,23570.26,1,22.7,11,419826,261.45,182,127.7406859,74.92603791,672,Good
d52f53e0-7f35-42c2-bda5-9eecc4bf7b42,75164,23613.96,3,20,8,175098,270,120,104.737686,73.3748061,608,Good
4400a5f9-1296-4547-9d0c-425a9a82beec,691809,27029.02,10,22.1,20,1142724,282.86,188,111.7400834,77.02679845,685,Good
25c20da9-9b6f-4877-8bd0-af95bd20a230,74157,13184.86,2,13.8,2,142890,265.68,121,135.7262603,64,626,Good
bdb62c52-116c-4ba1-bc81-3b31d9f5e02e,314374,63655.51,4,26.7,25,756800,287.79,230,124.7440027,77.58378623,735,Good
560a3d7d-fcbb-4f27-bd83-3ff43835eb49,307838,10727.78,10,11.4,10,460526,265.51,126,117.7184149,74.49559327,622,Good
cc66c584-a246-43db-b767-4fe393f0cb7c,2196020,31299.46,10,27.9,17,3070958,285.44,253,122.2448104,76.55000885,747,Good
b44eac83-4f09-423d-9487-c79e72aa9916,57684,6851.59,3,9.5,7,161304,264.79,125,116.209306,72.62770071,618,Good
f1410ea9-0f13-4b41-a2a1-8d3e76f94487,247703,19124.07,4,17.5,8,293568,274.61,122,135.2340692,73.3748061,645,Good
2c657180-a398-453a-8441-d9370173bc76,330011,25641.64,10,14,8,409992,284.16,128,137.2267901,73.3748061,661,Good
eb0d6917-cb8e-4726-b550-8c72fe3c2834,285874,26260.85,1,16.4,12,819346,260.95,245,131.7321222,75.29448983,725,Good
1f7d7845-e288-4359-b70a-27fb32060939,308503,25224.78,7,13.2,10,498872,277.26,124,134.7245723,74.49559327,649,Good
4a295c0f-af1b-45fe-9767-465f9dc2ed60,118427,16819.37,7,16,7,150194,274.71,120,136.7313466,72.62770071,644,Good
b863c85f-1529-4cc7-b656-05bc37669ba0,48127,1774.41,10,23,5,75724,246.59,120,111.7409752,70.50611122,589,Good
86794e26-999e-42a2-bc97-06da3640fe22,114285,11833.39,6,12.9,6,147356,282.89,128,129.7236681,71.69607095,650,Good
18aff92c-d5cb-4b78-84ea-5fa85fd282e0,186390,17695.84,10,28.3,11,282128,280.76,121,131.2450642,74.92603791,648,Good
