Customer_ID,Loan,Current Loan Amount,Term,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Score
1,1,445412,0,1167493,8,Home Mortgage,Home Improvements,5214.74,17.2,0,6,1,228190,416746,1,0,711.0
2,1,262328,0,0,10,Home Mortgage,Debt Consolidation,33295.98,21.1,8,35,0,229976,850784,0,0,684.0
3,1,99999999,0,2231892,8,Own Home,Debt Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0,
4,1,347666,1,806949,3,Own Home,Debt Consolidation,8741.9,12.0,0,9,0,256329,386958,0,0,618.0
5,1,176220,0,0,5,Rent,Debt Consolidation,20639.7,6.1,0,15,0,253460,427174,0,0,597.0
6,0,206602,0,896857,10,Home Mortgage,Debt Consolidation,16367.74,17.3,0,6,0,215308,272448,0,0,579.0
7,1,217646,0,1184194,0,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0,599.0
8,0,648714,1,0,0,Home Mortgage,Buy House,14806.13,8.2,8,15,0,193306,864204,0,0,635.0
9,1,548746,0,2559110,2,Rent,Debt Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0,611.0
10,1,215952,0,1454735,0,Rent,Debt Consolidation,39277.75,13.9,0,20,0,669560,1021460,0,0,612.0
11,1,99999999,0,714628,3,Rent,Debt Consolidation,11851.06,16.0,76,16,0,203965,289784,0,0,
12,1,541970,0,0,10,Home Mortgage,Home Improvements,23568.55,23.2,0,23,0,60705,1634468,0,0,837.0
13,1,99999999,0,776188,0,Own Home,Debt Consolidation,11578.22,8.5,25,6,0,134083,220220,0,0,
14,1,99999999,0,1560907,4,Rent,Debt Consolidation,17560.37,13.3,0,10,1,225549,496474,1,0,
15,1,234124,0,693234,10,Rent,Debt Consolidation,14211.24,24.7,46,10,1,28291,107052,1,0,812.0
16,1,449020,1,0,9,Own Home,Debt Consolidation,18904.81,19.4,0,8,0,334533,428956,0,0,604.0
17,0,653004,1,0,7,Home Mortgage,Debt Consolidation,14537.09,20.5,0,9,0,302309,413754,0,0,641.0
18,1,666204,1,1821967,10,Home Mortgage,Debt Consolidation,17612.24,22.0,34,15,0,813694,2004618,0,0,749.0
19,1,66396,0,0,10,Rent,Debt Consolidation,9898.81,27.1,0,23,1,9728,402380,1,0,839.0
20,1,390390,0,1791738,8,Home Mortgage,Home Improvements,2478.55,22.7,0,6,0,121182,801812,0,0,905.0
21,0,317108,1,1133274,8,Rent,Debt Consolidation,9632.81,17.4,53,4,0,60287,126940,0,0,763.0
22,1,128238,0,1354073,0,Rent,Debt Consolidation,13202.15,11.9,0,7,0,131936,458788,0,0,677.0
23,0,153252,0,1890690,2,Rent,Debt Consolidation,21900.35,15.7,0,12,0,891594,1081014,0,0,563.0
24,1,91894,0,850383,10,Home Mortgage,Debt Consolidation,5860.74,17.5,0,7,0,95608,230626,0,0,681.0
25,1,244926,1,1249953,4,Home Mortgage,Debt Consolidation,6812.26,14.4,0,6,1,143051,245014,0,1,638.0
26,1,465410,1,1722654,3,Rent,Buy House,15647.45,22.3,30,7,0,107559,488356,0,0,750.0
27,1,99999999,0,1029857,1,Rent,Debt Consolidation,13817.18,12.0,0,6,0,138339,221232,0,0,
28,1,443960,0,1432391,2,Home Mortgage,Debt Consolidation,25186.21,14.0,0,15,0,342475,905344,0,0,687.0
29,1,99999999,0,1749748,10,Home Mortgage,Debt Consolidation,19247.19,20.0,32,17,0,224390,295240,0,0,
30,1,107404,0,0,0,Home Mortgage,other,19238.07,43.7,0,5,0,28956,58014,0,0,731.0
31,1,99999999,0,1501912,6,Rent,Business Loan,31039.54,18.0,0,8,0,229349,469172,0,0,
32,1,334620,0,1348620,2,Rent,Debt Consolidation,16913.99,20.0,0,16,0,313177,539616,0,0,662.0
33,0,130174,0,524609,0,Rent,Debt Consolidation,9311.71,15.4,0,7,1,130701,268818,1,0,643.0
34,1,333564,1,1248338,10,Home Mortgage,Debt Consolidation,18205.04,14.6,0,18,0,300979,515526,0,0,652.0
35,1,109318,1,0,10,Home Mortgage,Buy a Car,15524.9,22.7,0,9,0,77121,920524,0,0,779.0
36,1,125796,0,1261068,5,Home Mortgage,Debt Consolidation,20597.33,24.5,0,13,0,684817,997414,0,0,634.0
37,1,99999999,0,752039,4,Home Mortgage,Debt Consolidation,17046.23,14.1,0,10,0,213484,478126,0,0,
38,1,161172,0,796499,8,Home Mortgage,Debt Consolidation,3404.99,22.6,0,6,1,114095,170038,0,0,662.0
39,0,259842,0,0,8,Home Mortgage,Debt Consolidation,11792.73,20.6,34,9,0,401584,708818,0,0,673.0
40,1,449108,0,1454507,8,Home Mortgage,Debt Consolidation,13090.43,28.8,21,14,0,193990,458414,0,0,709.0
41,0,688468,1,1494616,0,Rent,Debt Consolidation,14697.07,16.6,50,8,0,343995,843854,0,0,779.0
42,1,210166,0,0,2,Rent,Debt Consolidation,13084.54,14.0,20,10,0,314336,483362,0,0,560.0
43,1,327008,1,0,4,Home Mortgage,Debt Consolidation,15419.45,16.7,24,13,0,268090,529738,0,0,636.0
