Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
8af915d9-9e91-44a0-b5a2-564a45c12089,af534dea-d27e-4fd6-9de8-efaa52a78ec0,Fully Paid,548746.0,Short Term,678.0,2559110.0,2,Rent,Debt Consolidation,18660.28,22.6,33.0,4.0,0.0,437171.0,555038.0,0.0,0.0
150ebbad-ebed-441e-b70d-2f350ad7dca6,40f729c9-54c7-4768-9fb5-2fa41d074c48,Charged Off,317108.0,Long Term,687.0,1133274.0,8,Rent,Debt Consolidation,9632.81,17.4,53.0,4.0,0.0,60287.0,126940.0,0.0,0.0
578c8e10-3214-4491-bdbc-b1695ef8ff87,cbe53e22-ba67-4eaf-a4fb-c5acdd12ec66,Fully Paid,465410.0,Long Term,688.0,1722654.0,3,Rent,Buy House,15647.45,22.3,30.0,7.0,0.0,107559.0,488356.0,0.0,0.0
f7db4043-3607-46fe-a421-edf3281eed7c,f7581a72-d073-48a3-934f-14bdfae93691,Fully Paid,449108.0,Short Term,718.0,1454507.0,8,Home Mortgage,Debt Consolidation,13090.43,28.8,21.0,14.0,0.0,193990.0,458414.0,0.0,0.0
21d019a9-dc53-40e9-9c88-1ec3378283fe,64560eb4-f50d-4f14-8a86-b46c0381bef2,Charged Off,688468.0,Long Term,682.0,1494616.0,0,Rent,Debt Consolidation,14697.07,16.6,50.0,8.0,0.0,343995.0,843854.0,0.0,0.0
f6f70cfd-5100-4e63-b3c5-fa602ed29e95,24f6b0cb-17bd-4931-8cc9-b957f20efea5,Fully Paid,287980.0,Short Term,737.0,1013954.0,0,Home Mortgage,Debt Consolidation,16138.6,18.6,13.0,11.0,0.0,223117.0,489302.0,0.0,0.0
0daecc08-0354-4753-b282-52124b2420df,2884d362-391a-4941-af69-c825cae18002,Charged Off,219692.0,Long Term,661.0,527839.0,10,Rent,Debt Consolidation,14207.63,17.0,48.0,9.0,0.0,254277.0,379918.0,0.0,0.0
a4b4920d-48a4-424f-8386-1959f2f9ae86,48e551b4-6a6f-4450-bf3c-f0ee9bcb266e,Charged Off,176198.0,Short Term,736.0,1902090.0,10,Home Mortgage,Debt Consolidation,28372.89,15.4,7.0,9.0,0.0,206872.0,620554.0,0.0,0.0
4bcf4e06-60c7-4849-8c70-ada382fef5bb,0b25e0aa-3fe1-4540-8e6d-f6e579dfc84a,Fully Paid,130922.0,Short Term,747.0,2261304.0,2,Rent,Debt Consolidation,9761.25,16.1,30.0,6.0,0.0,110428.0,235488.0,0.0,0.0
7e2870c0-998d-4d35-ab8f-df77d30a0b8a,cdb9037a-a7e4-49e5-ace2-61cb3df0e1e0,Fully Paid,174548.0,Short Term,721.0,1620681.0,6,Rent,Take a Trip,30522.74,15.0,27.0,7.0,0.0,40489.0,128832.0,0.0,0.0
965909d3-09a6-410f-a30f-f25123010b3e,e947abb6-87fa-4e75-b381-d487bc4dd0bf,Charged Off,290224.0,Long Term,644.0,837045.0,7,Home Mortgage,Debt Consolidation,8230.99,18.3,10.0,11.0,0.0,176624.0,370480.0,0.0,0.0
de86c495-4052-43e9-b773-0b6597c41347,2b8d9ed7-d6d4-491e-82f9-f5bee3bd9408,Fully Paid,718784.0,Long Term,672.0,1648915.0,10,Home Mortgage,Debt Consolidation,15664.74,12.0,5.0,10.0,0.0,252016.0,489610.0,0.0,0.0
